,word,Frequency
0,plan,309
1,insurance,279
2,health,270
3,https,132
4,co,132
5,rt,87
6,benefits,63
7,the,54
8,help,51
9,care,45
10,new,33
11,employer,30
12,walmart,30
13,fertility,30
14,offer,27
15,coverage,27
16,could,27
17,medicare,27
18,workers,24
19,amp,24
20,take,24
21,lowest,24
22,teaming,21
23,startup,21
24,expand,21
25,like,21
26,state,21
27,seeking,21
28,also,21
29,get,18
30,options,18
31,make,18
32,part,18
33,learn,18
34,ap,18
35,people,18
36,action,18
37,calls,18
38,they,18
39,one,15
40,pay,15
41,covered,15
42,we,15
43,thanks,15
44,still,15
45,benefit,15
46,right,15
47,work,15
48,costs,15
49,paid,15
50,auto,15
51,variety,15
52,cost,15
53,cover,15
54,good,15
55,would,15
56,abortionjustice,15
57,keeping,15
58,buyers,15
59,private,12
60,life,12
61,best,12
62,companies,12
63,subsidized,12
64,go,12
65,money,12
66,plans,12
67,afford,12
68,california,12
69,via,12
70,mdsp,12
71,wanted,12
72,maryland,12
73,police,12
74,qualified,12
75,candidates,12
76,positions,12
77,sworn,12
78,civilian,12
79,am,12
80,treatments,12
81,nh,12
82,rates,12
83,england,12
84,among,12
85,country,12
86,common,12
87,luck,12
88,find,12
89,expensive,12
90,use,12
91,bad,12
92,advantage,12
93,employers,12
94,limits,12
95,next,9
96,month,9
97,quebec,9
98,singapore,9
99,healthinsurance,9
100,everyone,9
101,employee,9
102,this,9
103,2022,9
104,without,9
105,savings,9
106,see,9
107,today,9
108,someone,9
109,years,9
110,parents,9
111,needs,9
112,you,9
113,understand,9
114,and,9
115,government,9
116,there,9
117,year,9
118,bill,9
119,reduces,9
120,buying,9
121,individual,9
122,choose,9
123,profit,9
124,prescriptions,9
125,food,9
126,full,9
127,penalty,9
128,employees,9
129,group,9
130,govchrissununu,9
131,support,9
132,since,9
133,took,9
134,office,9
135,us,9
136,thing,9
137,need,9
138,away,9
139,obamacare,9
140,thinks,9
141,ehbs,9
142,law,9
143,accentinvesting,9
144,contribute,9
145,401,9
146,votechoice,9
147,protecting,9
148,abortion,9
149,criminalization,9
150,la,9
151,aca,9
152,some,9
153,annual,9
154,different,6
155,provincial,6
156,think,6
157,did,6
158,federal,6
159,compensation,6
160,when,6
161,job,6
162,sure,6
163,look,6
164,10,6
